conditionId,marketRelationType,marketQuestion,marketSlug,marketEndDate,yesTokenId
0xbbc6689d0f6d57ea42168836712237c7308b3e0118c8914d31b6126d0f3254c5,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by April 22, 2026?",us-x-iran-permanent-peace-deal-by-april-22-2026,2026-04-22T00:00:00Z,10355316169421062771540371697837923442956106006258739802114788264214901200573
0x084a4aac9da433824013ad192196193d7d1bd8293c0fedc9eb7e687909fd1d0f,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by April 24, 2026?",us-x-iran-permanent-peace-deal-by-april-24-2026,2026-04-24T00:00:00Z,73451767581833755534290283287150634572320766963843705278849195665912417601921
0xceb6dfaa2cf5abc9d47ebc867b984a7715104944249274e8a483a2e17473e5f5,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by April 30, 2026?",us-x-iran-permanent-peace-deal-by-april-30-2026-925,2026-04-30T00:00:00Z,64575112906857627673396031002364315784778510108272214779568803819416675082435
0xc5331256bff341491df0656772c4245a99a483c58eeda2faa70fa6bb8b7b0405,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by May 8, 2026?",us-x-iran-permanent-peace-deal-by-may-8-2026,2026-05-08T00:00:00Z,53886837528295918199173213040710747917684350390439332312874024244950707854931
0x667c01a18ac1efb8300ce2c4d9fd573275cb633344148675beee8e097db193c4,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by May 11, 2026?",us-x-iran-permanent-peace-deal-by-may-11-2026,2026-05-11T00:00:00Z,22816012951780458167668705790296878696108244233480341128638214613962237032260
0x2509daa236d3aea83c910be4e00f50027dd72e6fa0d350536d07cd079f58d7ab,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by May 13, 2026?",us-x-iran-permanent-peace-deal-by-may-13-2026,2026-05-13T00:00:00Z,42668369151459316227719399008269940824030721664501669546980811568526930947689
0x1db02ba50e2312a62b4104de691cc7a76065d8d0da40decf93eb1b914a3217b7,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by May 15, 2026?",us-x-iran-permanent-peace-deal-by-may-15-2026-144-885-839,2026-05-15T00:00:00Z,88304163265734087403223321042172792808390195323159743956352682998398711353447
0x53098776eb95dbbd2e899c4fcd787a043ba725f55433948da2fbd00abdfcd3ae,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by May 22, 2026?",us-x-iran-permanent-peace-deal-by-may-22-2026,2026-05-22T00:00:00Z,107715390014862406485536118714081498606413437514382660058593986098320182104000
0x421bc1929df1429cf2cb94f80c1ce6a3ed0d1f0b7a2749b9890075f94eb549e9,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by May 26, 2026?",us-x-iran-permanent-peace-deal-by-may-26-2026,2026-05-26T00:00:00Z,72964978221398605522514751377428383911377976290846845653048953950250638951071
0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by June 30, 2026?",us-x-iran-permanent-peace-deal-by-june-30-2026-837-641-896-877-363-892-537-597,2026-05-31T00:00:00Z,31867385211987925701696042012772036156561382644688734856312468506547392739862
0x0e4a0c937b8934c2475613b6322b3f8edc8dedc24762e01e42b0e6f87424a089,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by May 31, 2026?",us-x-iran-permanent-peace-deal-by-may-31-2026-333-871-241-192-799-449-125,2026-05-31T00:00:00Z,72094069823942324362885404801938332659316240217382754851102758232469673300092
0x366f89649caea042c96ee741b185461ec7faa408a2664ec44469a0061924b537,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by June 7, 2026?",us-x-iran-permanent-peace-deal-by-june-7-2026,2026-06-07T00:00:00Z,15995243820336177841554632127584222169952027258346817014909996961549144471612
0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by July 31, 2026?",us-x-iran-permanent-peace-deal-by-july-31-2026-831-252,2026-07-31T00:00:00Z,99566541619640652317512639709808184120400767516277184685355777020179304540844
0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,2026-08-31T00:00:00Z,18350166227701937595781661497315771588029127293300032980353664093725965421470
0x087713ab2905e789c42c3fafdf747512f8d7883b7fab1ac554b703310c09d869,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by October 31, 2026?",us-x-iran-permanent-peace-deal-by-october-31-2026,2026-10-31T00:00:00Z,87454787582145370245918768733918745779368258596964798398674915534231998102607
0x9769f78cbc95a5ed11895e6064bac471d8fd8f930b260cf581b68d3f58630d27,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by December 31, 2026?",us-x-iran-permanent-peace-deal-by-december-31-2026-961-587-341-574-555-817,2026-12-31T00:00:00Z,104718292808309433767402444061650910790437726449955521731268760928480423099204
0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,2026-06-15T00:00:00Z,5904694069529905826680225678119990013628860098514322777023141327768111791078
