top_n,voting_power_uma,pct_of_round,yes_pct_of_round,no_pct_of_round,voter_count,vote
1,3121680.0,16.71,16.71,0.0,1,
2,4659225.0,24.94,24.94,0.0,2,
3,5732658.0,30.69,30.69,0.0,3,
5,7794952.0,41.73,41.73,0.0,5,
10,10773543.0,57.68,57.68,0.0,10,
12,11571596.0,61.95,61.95,0.0,12,
20,13801759.0,73.90000000000002,73.90000000000002,0.0,20,
30,15697332.0,84.03999999999999,84.03999999999999,0.0,30,
60,17818195.0,95.4,93.81,2.11,60,
by_vote,296108.0,1.5899999999999999,,,4,NO
by_vote,96349.0,0.52,,,1,NO/YES
by_vote,1280349.0,6.86,,,5,OTHER/YES
by_vote,16145389.0,86.43,,,50,YES
