delegate_hot_wallet,staker_count,ranks,ens_names,combined_pct_of_round,combined_voting_power_uma,votes
,12,"16,18,24,25,31,40,41,54,55,58,59,60",neondaemon.eth,7.58,1415058.0,NO;OTHER/YES;YES
0x2f8320c2dc28681aa5bbf92e79c37be656a7d5f1,1,1,borntoolate.eth,16.71,3121680.0,YES
0x2ec20e5aa17f736060356f6b186208d5ce0ab4b4,1,2,maxodds.eth,8.23,1537545.0,YES
0x54b74d49cbfb92343e4607f260be721b208b4dfb,1,3,,5.75,1073433.0,YES
0xb21be96dc75717272402ef97a5cc144544263e3c,1,4,,5.74,1072344.0,YES
0x099af188e9c68b91617efe4b09ee8cd90ba4c63d,1,5,,5.3,989950.0,YES
0x4b8aef878255f6242606fe5e73d659004f5a34fa,1,6,,4.72,880730.0,YES
0x260d417fbd1716b1375cd311f8a6677c4a780b3a,1,7,,3.83,715196.0,OTHER/YES
0xc03808e0af01563a739e408268d5517dd7d710f3,1,8,,2.47,461920.0,YES
0xc636da66cfa5c363c4785835069dcaf85ab91feb,1,9,,2.47,461061.0,YES
0xaf4c815cf13bc8671a2a12bde62aabec24651ccc,1,10,,2.46,459684.0,YES
0x2108a6d1f32d1a932431d64e3328d1d45bd0520f,1,11,,2.35,439615.0,YES
0xad0b860664a781cc164fc8ea36f81567ebec2c5f,1,12,,1.92,358438.0,YES
0xa4c8e8d8983e53381b25967659a368f8e108aca2,1,13,,1.69,315100.0,YES
0x6147d56b02fabd35cd9fc2b80a60276cdf089521,1,14,,1.66,309632.0,YES
0xe36b79317a75b08384c33d21197c7e3273886873,1,15,,1.64,305567.0,YES
0x5db732749c6871540f481c15ebf353fc03c225d3,1,17,,1.43,266957.0,YES
0x8bd7b5e860998607715da42944cc9de3486a3ae2,1,19,,1.37,255551.0,YES
0x8d47cd9b8b015b0f3865e8ee0b96b8125bb1f483,1,20,,1.28,238473.0,YES
0x35a7f9db799649908688826e06ca754ea0153724,1,21,,1.25,232758.0,YES
0x744c2f5fadbc305d20fc91274b71a6896d294946,1,22,,1.16,217160.0,YES
0xfd8355b24ab8815ca2d76d1e495dc29b4330241f,1,23,,1.15,214805.0,YES
0xcf2e28e5e57461254b8b254ae6d03c89d19bf743,1,26,,1.03,192691.0,YES
0xd0a530121747b005af6bed69426092cb525713d5,1,27,,0.96,178654.0,OTHER/YES
0x0f8fe8e8b7ad38615904a08e821e875fa19d8b67,1,28,,0.84,157726.0,YES
0x0dd7762e2fe09c9ee2f5acdea19c102f7c16d8c2,1,29,,0.8,150355.0,YES
0x419d955a9c3df6a1b9eb3ebf2d21a3c63a8d57ef,1,30,,0.79,148327.0,YES
0x203f9674be9782bc4b194625ee9dc6800e65b2d8,1,32,,0.73,136045.0,NO
0xb6e74e6fd559f9207679d128dddbb35b9042a166,1,33,skakun.eth,0.66,124209.0,YES
0xfa93e76bb7de1071d6f9c0f77af883c2a944b2d1,1,34,,0.66,122819.0,YES
0xfcfa494c13409172109f161c428499b39682ffa4,1,35,,0.64,119580.0,YES
0xb09080c5ac5adc483208dfbe22f8684eec907c17,1,36,,0.55,103363.0,YES
0xf39695c39eacdf81d146ce6667e81476ea9b3fa7,1,37,,0.54,100718.0,OTHER/YES
0x9bc114cbdf47021f15416e720bc71b5341120e87,1,38,,0.52,97881.0,YES
0xd48010de315e10d071853b1466f0c273e766fa07,1,39,,0.52,96349.0,NO/YES
0x24f16d0cda8c2de21c762e0295c28d7249a972a4,1,42,,0.42,78914.0,OTHER/YES
0xdd2cb8c9b8fccdc366ae60f4fe1c99813ec0d18e,1,43,,0.42,77718.0,YES
0x27064cc4fe5bd5a20d0e5a21390a45f5a44bf7d3,1,44,,0.4,75129.0,YES
0x79c8039c0cfbdc3cdf8d66efb1ad2836e698ea3c,1,46,,0.33,60980.0,YES
0xa8e20d1b16c2821c2e17a58eb9c92c2ec7699283,1,45,,0.33,61675.0,YES
0x841499f8f5f869c20886d581641dc181e9c6b672,1,47,,0.29,55051.0,YES
0x82ac3585ab4c876acf7bc28cb6833a65ba7ec7db,1,49,,0.27,50256.0,YES
0xa4d849e3b972088f72ed2899f2945410cd784ba7,1,48,,0.27,50481.0,YES
0x1de746bb64222c304b38f84613745323cb6c7fc1,1,50,,0.24,44276.0,NO
0x1cee194da1eefe344fb2e7f46fab7d3a65c078e5,1,51,,0.23,42894.0,YES
0x342f40fc637e631f669a5b38fa4fc94dcdd7dbed,1,53,,0.22,40342.0,YES
0xb397dee549e3fdf24c82b72707cb6fcd849d214f,1,52,,0.22,40412.0,YES
0x53a30736a43c413edf5c13f049d34d3dd57b7128,1,56,,0.18,34450.0,NO
0xb7351893b4108a62cd765cdaa8ed6e8544e9bbf2,1,57,,0.18,34243.0,YES
